ID,CATEGORY,TEXT,COUNTER NARRATIVES
21,Homophobic-derogation,காமத்தின் பிடியில் சிக்கி எதிர்பாலுடன் சேர முடியாதவர்கள் அல்லது வாய்ப்பு கிடைக்காதவர்கள் தங்கள் காமப்பசியைத் தீர்த்துக்கொள்வதற்காக ஓரினச்சேர்க்கையாளராக மாறுகிறார்கள்இதற்கு மனம் காரணமல்ல மனதில் தோன்றும் காம எண்ணங்களே காரணம்முடிந்தவரை காமத்திலிருந்து விலகியிருந்தால் நல்லது,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
22,Homophobic-derogation,நீ என்ன ஓரின சேர்க்கையி ல பிறந்த இல்ல உன்னுடைய பெற்றோர் ஓரின சேர்க்கையலாரா,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
23,Homophobic-derogation,மக்கா இது இதுகூட தான் சேரணும் அது இயற்கை எது எதுகூட வேணுமானாலும் சேரலானு சொல்ற உனக்கு எது எதுகூட வேணுமானாலும் சேரலானு இருக்கலாம் அது தான் சரின்னு சொல்லாத,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
24,Homophobic-derogation,இந்த உலகத்தில் இல்லாத அருவருப்புகளில் மேலன அருவருப்பு ஓரினச் சேர்க்கை இது ஒரு சாபமான பாவம்,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
25,Homophobic-derogation,தூ கருமம் மிருகங்களில் ஆண்ஆணை பெண் பெண்ணை புணருவதில்லை சோடி போட்டு சுற்றுவதில்லை அதே போல மிருகங்களில் திரு நங்கைகளோ திரு நங்கங்களோ இல்லை அப்படி இருக்க இயற்கையை மீறிய தீர்ப்பு வழங்கிய நீதிபதிகளை செருப்பால் அடிக்க வேண்டும்,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
26,Homophobic-derogation,இதில் இறைவன் தவறு இல்லை அவர் அவர் மனக் கோளாறுகள் மற்றும் சமுதாயம் தான் காறணம்,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
27,Homophobic-derogation,ஓரினசேர்க்கை இயற்கைக்கு புறம்பானதுஅது தவறானதுஇது என்னால் ஒத்துக்கொள்ள இயலாது,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
28,Homophobic-derogation,சுனாமியும் நிலநடுக்கம் போன்ற இயற்கை சீற்றங்கள் இந்த கேவலமான காரியத்திற்கு அனுமதி அளித்த முட்டாள் நீதி மையங்களுக்கு வரட்டும்,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
29,Homophobic-derogation,மிருகம் கூட அது சரியாக பெண் மிருகத்தை தேடும் Sex பண்றதுக்கு ஆனால் மனிதன் இப்படி மிருகத்தைவிட கேவலமாக இருக்கிறார்கள் இது மிகப்பெரிய தவறு தீர்ப்பு சரியில்லை,"தம்மைச் சார்ந்த உண்மைகளைத் தைரியமாக வெளிப்படுத்தும் எவரும் நம்மைச் சுற்றியுள்ள சமூகத்தின் முக்கிய அங்கங்கள். அவர்களை விரோதப்படுத்தாமல், அன்போடு அணுகுவோம்."
30,Homophobic-derogation,ஓரினச்சேர்க்கை தவறு இல்லைனா அப்பன் மகனோடு உறவு கொள்ளலாமா அண்ணன் தம்பியோடும் தம்பி பெரியப்பனோடும் உறவு கொள்ளலாமா,"அவர்களின் வாழ்க்கை அவர்களுக்குரியது. நம்மால் அதை மதிக்க முடிந்தால், சமுதாயம் மிகவும் நல்லதாக மாறும்."
31,Homophobic-Threatening,திருட்டு நாய்கள் ஓரினச்சேர்க்கையில் ஈடுபடுபவர்களை அடித்து கொலை செய்ய வேண்டும்,"தம்மைச் சார்ந்த உண்மைகளைத் தைரியமாக வெளிப்படுத்தும் எவரும் நம்மைச் சுற்றியுள்ள சமூகத்தின் முக்கிய அங்கங்கள். அவர்களை விரோதப்படுத்தாமல், அன்போடு அணுகுவோம்."
32,Homophobic-Threatening,"தற்கொலை பண்ணிக்கிறதும் அவரவர் இஷ்டம் தான் அதை மட்டும் தவறு ன்னு சொல்றாங்க அப்ப இந்த நாய் இது இஷ்டத்துக்கு வாழ்றது சரியா கடவுளும் சரி இயற்கையும் சரி இதை
  ஏத்துக்கல உன்ன மாதிரி ஆளுங்கள முதல களை எடுக்கணும் வாய் இருக்குன்னு தப்ப கூட சரியா பேசிட்டு இருக்க முதல்ல உங்கள ஒழிக்கனும்","வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
33,Homophobic-Threatening,த்தா இத ஆதரிக்குற நாய்கள் மனுசே கிடையாது எங்கயாச்சும் போய் சாகுங்கடா,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
34,Homophobic-Threatening,சரி தவறு தான் ஒன்னு பன்னுங்க உன் சொந்தத்துல கண்டிப்பா ஓருத்தன் gay ya இருப்பான் அவன கொலை பன்னிடு சரி தவறு சரி ஆகிடும்.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
35,Homophobic-Threatening,டை தேவுடியா நாயா எங்க நாட்டை வீட்டு செல்,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
36,Homophobic-Threatening,அப்போ சாவு,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
37,Homophobic-Threatening,ரொம்ப அட்ற பேக்கூதி,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
38,Homophobic-Threatening,இந்த ஓணானை அடிச்சு வெளில தூக்கி போடுங்கடா,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
39,Homophobic-Threatening,இவங்க எல்லாம் எதுக்கு உயிரோட இருகாங்க தூ,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
40,Homophobic-Threatening,திருநெல்வேலி மாதிரி ஊர்கள்ல கொலை கூட பன்னிருக்கானுக,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
41,Homophobic-Threatening,5 உண்மை மனித ஓரினசேர்க்கை அரகர்களுக்கு சரியான செருப்படி கொடுத்தீர்கள். இவர்கள் வாழ தகுதியற்றவர்கள்இந்த மானகெட்ட பொழப்புக்கு தூக்கு போட்டு தொங்க வேண்டும்.,"தம்மைச் சார்ந்த உண்மைகளைத் தைரியமாக வெளிப்படுத்தும் எவரும் நம்மைச் சுற்றியுள்ள சமூகத்தின் முக்கிய அங்கங்கள். அவர்களை விரோதப்படுத்தாமல், அன்போடு அணுகுவோம்."
42,Homophobic-Threatening,நல்ல இரும்பு கம்பிய பழுக்க காய்ச்சி வச்சா சரி Lesbian gay kadupu ethikdidu,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
43,Homophobic-Threatening,இந்த தேவுடியா பசங்கள மொத்தமா தெருநாய் மாதிரி சுட்டு தள்ளனும்,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
44,Homophobic-Threatening,இந்த மாதிரி நாய்களை சுட்டு கொள்ளவேண்டும்,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
45,Transphobic-Threatening,எல்லா ரயிலிலும் இந்த உதவாக்கரைகளின் அட்டகாசம் தாங்கமுடியலரயில்வே காவல் துறை நினைத்தால் ஒழித்துவிட முடியாதா,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
46,Transphobic-Threatening,இந்தமாதிரி சில திருநங்கை நாய்களால்தான் மற்றவர்களுக்கு கெட்டபெயர் இந்த நாயை செருப்பால் அடுச்சு கொல்லனும்,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
47,Transphobic-derogation,நீ ஒரு திருநங்கை அதனால்தான் இப்படி எல்லாம் பேசறே,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
48,Transphobic-derogation,நீயே ஒன்பது மாதிரிதான் இருக்க,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
49,Transphobic-derogation,இவா ஆம்பளயாபொம்பளயா மொயையே காணோம்,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
50,Transphobic-derogation,நீ ஒரு அலி அதனால்தான் இப்படி பேசறே பிரனேஷ் நீ கெட்ட வார்த்தை பேசுறதாலே உனக்கு தான் மரியாதை இல்லை,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
51,Homophobic-derogation,LGBTQ சமூகத்தினர் வாழ்க்கையை பாசமில்லாததாக மாற்றுகிறார்கள்.,"திருநங்கைகள், ஓரின உறவுகளில் இருப்பவர்கள் எல்லோரும் நம் சமுதாயத்தின் பங்கு. அவர்களை வலியுறுத்துவதற்குப் பதிலாக ஆதரிப்போம்."
52,Transphobic-derogation,ஒரே பாலின பெண்கள் சமூகத்திற்கு தவறான உணர்வுகளை ஏற்படுத்துகிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
53,Homophobic-derogation,பெண் உடலுடன் ஆண்மையுடன் வாழ்பவர்கள் நாட்டின் கலாசாரத்தை கெடுக்கின்றனர்.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
54,Homophobic-derogation,பெண் உடலுடன் ஆண்மையுடன் வாழ்பவர்கள் சமூகத்திலிருந்து தனிமைப்படுத்தப்பட வேண்டும்.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
55,Transphobic-Threatening,ஒரே பாலின ஆண்கள் பொதுவிடங்களில் நடந்து கொள்ளும் விதம் அசிங்கமாக உள்ளது.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
56,Homophobic-derogation,சமலிங்கிகர்கள் குடும்பங்களில் குழப்பங்களை உருவாக்குகிறார்கள்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
57,Homophobic-Threatening,LGBTQ சமூகத்தினர் பொதுவிடங்களில் நடந்து கொள்ளும் விதம் அசிங்கமாக உள்ளது.,
58,Homophobic-derogation,ஓரினக் காதலர்கள் பள்ளி மற்றும் கல்லூரிகளில் தவறான முன்னுதாரணமாக இருக்கிறார்கள்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
59,Homophobic-derogation,சமலிங்கிகர்கள் நல்லொழுக்கங்களை தவிர்க்கிறார்கள்.,"திருநங்கைகள், ஓரின உறவுகளில் இருப்பவர்கள் எல்லோரும் நம் சமுதாயத்தின் பங்கு. அவர்களை வலியுறுத்துவதற்குப் பதிலாக ஆதரிப்போம்."
60,Homophobic-derogation,LGBTQ சமூகத்தினர் குடும்ப பண்பாட்டை முற்றிலும் நாசமாக்குகிறார்கள்.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
61,Homophobic-derogation,LGBTQ+ யOUTH நம் நாட்டின் ஒழுக்கத்தை கேள்விக்குள்ளாக்குகிறார்கள்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
62,Transphobic-derogation,திருநங்கைகள் பாரம்பரியங்களை சிதைக்கும் செயலில் ஈடுபட்டுள்ளனர்.,பாரம்பரியம் மற்றும் கலாச்சாரம் என்ற பெயரில் ஒருவரின் அடையாளத்தை கேள்விக்குள்ளாக்குவது நியாயமல்ல. நாம் வளர்ச்சியடைந்த சமுதாயமாக இருக்க வேண்டும்.
63,Homophobic-derogation,ஓரினப்பால் விருப்பம் கொண்டவர்கள் தவறான வழியை சமூகத்தில் பரப்புகிறார்கள்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
64,Homophobic-derogation,lesbian பெண்கள் ஊருக்கு எதிரானோர் போலவே நடந்துகொள்கிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
65,Homophobic-derogation,பெண் உடலுடன் ஆண்மையுடன் வாழ்பவர்கள் பக்கம் பக்கம் வசிக்கும் மக்களுக்கு அச்சத்தை உருவாக்குகிறார்கள்.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
66,Homophobic-derogation,மாறுபட்ட பாலியல் விருப்பம் கொண்டவர்கள் போன்றவர்கள் சமூகத்திற்கு ஒரு ஆபத்தாக மாறியுள்ளனர்.,"மாற்றுப்பாலினத்தவரும், ஓரின சேர்க்கையையும் விரும்பும் நபர்களும், நம்மைப் போலவே உரிமைகளுடன் வாழும் மனிதர்கள். அவர்களை மதிக்க நாம் எல்லோரும் ஒற்றுமையாக இருக்க வேண்டும்."
67,Transphobic-Threatening,திருநம்பிகள் பொதுவிடங்களில் நடந்து கொள்ளும் விதம் அசிங்கமாக உள்ளது.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
68,Transphobic-derogation,மூன்றாம் பாலினம் ஊருக்கு எதிரானோர் போலவே நடந்துகொள்கிறார்கள்.,"வெறுப்பும், தவறான தகவல்களும் ஒரு சமூகத்தைக் கிழிக்கக்கூடும். நாம் உண்மையையும், கருணையையும் முன்னிறுத்துவோம்."
69,Transphobic-derogation,திருநங்கைகள் திருமண உறவை இழிவுபடுத்துகிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
70,Homophobic-derogation,ஆண் உடலுடன் பெண்மையுடன் வாழ்பவர்கள் சமூகத்திலிருந்து தனிமைப்படுத்தப்பட வேண்டும்.,"தம்மைச் சார்ந்த உண்மைகளைத் தைரியமாக வெளிப்படுத்தும் எவரும் நம்மைச் சுற்றியுள்ள சமூகத்தின் முக்கிய அங்கங்கள். அவர்களை விரோதப்படுத்தாமல், அன்போடு அணுகுவோம்."
71,Transphobic-derogation,ஒரே பாலின ஆண்கள் குடும்பங்களில் குழப்பங்களை உருவாக்குகிறார்கள்.,ஒருவரின் பாலியல் விருப்பம் அல்லது பாலின அடையாளம் அவர்களது தனிப்பட்ட விஷயம். அதை மதிப்பது சமுதாய ஒற்றுமைக்குத் தேவையானது.
72,Homophobic-derogation,gay ஆண்கள் குழந்தைகளின் வளர்ச்சிக்கு தீங்காக இருக்கிறார்கள்.,இவர்கள் அனைவரும் மனிதர்களே; அவர்களின் வாழ்க்கைத் தேர்வுகளை மதிப்பது நம் பண்பு.
73,Homophobic-derogation,LGBTQ+ யOUTH குடும்ப பண்பாட்டை முற்றிலும் நாசமாக்குகிறார்கள்.,ஒவ்வொரு நபருக்கும் தங்களுடைய பாலியல் அடையாளம் மற்றும் வாழ்க்கைத் தேர்வுகளை உரிமையாக பின்பற்றும் உரிமை இருக்கிறது. அவர்களை மதிப்பது நம் கடமையாகும்.
74,Transphobic-derogation,திருநம்பிகள் நாட்டின் கலாசாரத்தை கெடுக்கின்றனர்.,"எல்லா மனிதர்களும் சம உரிமைகளோடு வாழ்வதற்குரியவர்கள். நம் மதிப்பும், மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்."
